Frame	 PSNR-Y 	 PSNR-U 	 PSNR-V 	 PSNR-All 	 Frame	  SSIM-Y	  SSIM-U	  SSIM-V	  SSIM-All	 Frame
   87	 46.117533	 46.885603	 46.027170	 46.220865	  min	  0.988929	  0.984737	  0.984995	  0.987575	     
   88	 47.455208	 47.593811	 46.754411	 47.352418	     	  0.988864	  0.985498	  0.985990	  0.987824	     
   89	 46.062726	 46.718859	 45.921001	 46.140910	  min	  0.988763	  0.984028	  0.984546	  0.987271	     
   90	 46.639917	 46.985162	 46.221572	 46.622074	     	  0.988945	  0.984332	  0.984925	  0.987506	     
   91	 46.014979	 46.537770	 45.798075	 46.060237	  min	  0.988600	  0.983509	  0.984104	  0.987002	     
   92	 47.282347	 47.317167	 46.523993	 47.152004	     	  0.988543	  0.984596	  0.985248	  0.987336	     
   93	 46.114914	 46.826672	 46.104379	 46.223928	     	  0.988358	  0.983943	  0.984652	  0.987005	     
   94	 47.249420	 47.326596	 46.576775	 47.142247	     	  0.988467	  0.984625	  0.985340	  0.987306	     
   95	 47.287179	 47.342798	 46.621576	 47.177890	     	  0.988460	  0.984631	  0.985396	  0.987311	     
   96	 50.625507	 50.889325	 50.349668	 50.620706	     	  0.993840	  0.991882	  0.992441	  0.993280	     
   97	 46.332554	 47.926897	 46.921600	 46.658716	     	  0.991165	  0.987696	  0.987777	  0.990022	     
   98	 46.892755	 47.987102	 46.965842	 47.069613	     	  0.991350	  0.987418	  0.987396	  0.990035	     
   99	 45.818288	 46.884037	 45.913689	 45.995074	  min	  0.990448	  0.984791	  0.984729	  0.988552	     
  100	 47.580332	 47.953564	 47.140957	 47.562913	     	  0.991469	  0.986944	  0.987269	  0.990015	     
  101	 45.596982	 46.494206	 45.541479	 45.724632	  min	  0.989920	  0.983400	  0.983339	  0.987736	     
  102	 46.437834	 46.870641	 45.934894	 46.417668	     	  0.990377	  0.984001	  0.984017	  0.988254	     
  103	 45.406835	 46.031730	 45.095002	 45.450170	  min	  0.989388	  0.981639	  0.981534	  0.986788	     
  104	 46.449033	 46.755802	 45.947316	 46.409933	     	  0.989950	  0.983242	  0.983672	  0.987786	     
  105	 45.199484	 45.766406	 44.809830	 45.220168	  min	  0.988921	  0.980388	  0.980142	  0.986036	     
  106	 45.861328	 46.158950	 45.284738	 45.806844	     	  0.989365	  0.981318	  0.981435	  0.986702	     
  107	 45.066621	 45.580010	 44.679022	 45.079771	  min	  0.988557	  0.979539	  0.979417	  0.985530	     
  108	 46.109287	 46.246912	 45.469410	 46.017930	     	  0.989161	  0.981137	  0.981765	  0.986591	     
  109	 45.037219	 45.465866	 44.573949	 45.023789	  min	  0.988358	  0.978751	  0.978927	  0.985185	     
  110	 45.626687	 45.855482	 45.020652	 45.556018	     	  0.988745	  0.979732	  0.980165	  0.985813	     
  111	 44.927109	 45.343351	 44.520594	 44.922240	  min	  0.988052	  0.978140	  0.978564	  0.984818	     
  112	 45.858684	 45.920472	 45.222131	 45.755874	     	  0.988465	  0.979363	  0.980583	  0.985634	     
  113	 44.825965	 45.196377	 44.362676	 44.803714	  min	  0.987651	  0.977107	  0.977756	  0.984244	     
  114	 45.287806	 45.541054	 44.745528	 45.232891	     	  0.987978	  0.977998	  0.978849	  0.984793	     
  115	 44.658195	 45.028371	 44.253761	 44.646706	  min	  0.987302	  0.976222	  0.977023	  0.983742	     
  116	 45.630675	 45.628039	 44.982102	 45.515201	     	  0.987764	  0.977872	  0.979349	  0.984713	     
  117	 44.672721	 44.974538	 44.208106	 44.639712	  min	  0.987020	  0.975819	  0.976730	  0.983438	     
  118	 45.112545	 45.330891	 44.556654	 45.049655	     	  0.987222	  0.976788	  0.977704	  0.983897	     
  119	 44.560094	 44.860764	 44.126050	 44.532519	  min	  0.986587	  0.975055	  0.976062	  0.982911	     
  120	 45.431600	 45.390094	 44.746654	 45.302922	     	  0.986917	  0.976387	  0.978092	  0.983691	     
  121	 44.490234	 44.770830	 44.004121	 44.449982	  min	  0.986181	  0.974295	  0.975310	  0.982388	     
  122	 44.869396	 45.068242	 44.323549	 44.805326	     	  0.986355	  0.975134	  0.976286	  0.982807	     
  123	 44.437789	 44.657210	 43.946387	 44.387035	  min	  0.985912	  0.973673	  0.974780	  0.982017	     
  124	 45.235811	 45.199596	 44.479547	 45.094393	     	  0.986094	  0.975072	  0.976434	  0.982647	     
  125	 44.398999	 44.594155	 43.896632	 44.342413	  min	  0.985554	  0.973053	  0.974275	  0.981591	     
  126	 44.685699	 44.822921	 44.117058	 44.607659	     	  0.985539	  0.973583	  0.974804	  0.981757	     
  127	 44.238905	 44.531706	 43.859624	 44.220081	  min	  0.985004	  0.972653	  0.973829	  0.981083	     
  128	 45.052442	 45.008980	 44.277120	 44.906180	     	  0.985223	  0.973842	  0.975005	  0.981623	     
  129	 44.227717	 44.436966	 43.740984	 44.176229	  min	  0.984673	  0.971822	  0.972957	  0.980578	     
